model,train_alpha,score_type,mean_score,std_score,q95,q99
GAT_h16_l4_head2_a0.1,0.1,population_error,1.0068111419677734,0.9820214509963989,3.0786824226379395,4.2297163009643555
GAT_h16_l4_head2_a0.1,0.1,country_score,0.6890643835067749,0.30747684836387634,0.9990208745002747,0.9998133778572083
GAT_h16_l4_head2_a0.3,0.3,combined_score,0.8582624197006226,0.5726333856582642,2.048436164855957,2.6742148399353027
GAT_h16_l4_head2_a0.3,0.3,population_error,0.9480255842208862,0.902966320514679,2.7824478149414062,3.8336572647094727
GAT_h16_l4_head2_a0.3,0.3,country_score,0.7236176133155823,0.29337427020072937,0.998765766620636,0.9997517466545105
GAT_h16_l4_head2_a0.5,0.5,combined_score,0.8122056126594543,0.5772729516029358,2.0971972942352295,2.7185091972351074
GAT_h16_l4_head2_a0.5,0.5,population_error,0.8611260652542114,0.9145447611808777,2.8936257362365723,3.939370632171631
GAT_h16_l4_head2_a0.5,0.5,country_score,0.7388246655464172,0.2896076738834381,0.9986559152603149,0.9997691512107849
GAT_h16_l4_head2_a0.7,0.7,combined_score,4.917099475860596,0.8964967131614685,6.48406457901001,7.148139953613281
GAT_h16_l4_head2_a0.7,0.7,population_error,7.53298807144165,1.4945329427719116,10.142461776733398,11.248540878295898
GAT_h16_l4_head2_a0.7,0.7,country_score,0.9932653307914734,0.011015122756361961,0.9993412494659424,0.9998509883880615
GAT_h16_l4_head2_a0.9,0.9,combined_score,0.8076226115226746,0.5854316353797913,2.0652263164520264,2.7014732360839844
GAT_h16_l4_head2_a0.9,0.9,population_error,0.8011788725852966,0.9420854449272156,2.872209310531616,3.8617446422576904
GAT_h16_l4_head2_a0.9,0.9,country_score,0.8172884583473206,0.21563582122325897,0.9982880353927612,0.998961865901947
GAT_h16_l4_head4_a0.1,0.1,combined_score,0.8417959809303284,0.6061598062515259,2.093916416168213,2.668117046356201
GAT_h16_l4_head4_a0.1,0.1,population_error,0.9632675051689148,0.9523036479949951,3.0224647521972656,4.071951389312744
GAT_h16_l4_head4_a0.1,0.1,country_score,0.6595888733863831,0.32857710123062134,0.9990925788879395,0.9998404383659363
GAT_h16_l4_head4_a0.3,0.3,combined_score,0.7431551814079285,0.5999215245246887,2.1141197681427,2.530148506164551
GAT_h16_l4_head4_a0.3,0.3,population_error,0.8164777755737305,0.9314987659454346,2.99120831489563,3.713135004043579
GAT_h16_l4_head4_a0.3,0.3,country_score,0.6331712603569031,0.3441506624221802,0.9989330172538757,0.9999088048934937
GAT_h16_l4_head4_a0.5,0.5,combined_score,0.7830089926719666,0.5772622227668762,2.0729806423187256,2.5936646461486816
GAT_h16_l4_head4_a0.5,0.5,population_error,0.8268350958824158,0.9134057760238647,2.8335587978363037,3.8047142028808594
GAT_h16_l4_head4_a0.5,0.5,country_score,0.7172695994377136,0.2937723994255066,0.9986468553543091,0.9997730851173401
GAT_h16_l4_head4_a0.7,0.7,combined_score,0.7753339409828186,0.5631906986236572,2.081895112991333,2.6520004272460938
GAT_h16_l4_head4_a0.7,0.7,population_error,0.7796685099601746,0.890066385269165,2.8758673667907715,3.800666570663452
GAT_h16_l4_head4_a0.7,0.7,country_score,0.7688319683074951,0.25502991676330566,0.9987095594406128,0.999609649181366
GAT_h16_l4_head4_a0.9,0.9,combined_score,0.7877755761146545,0.556778073310852,2.0045790672302246,2.5778887271881104
GAT_h16_l4_head4_a0.9,0.9,population_error,0.7752506136894226,0.8832969069480896,2.7536704540252686,3.6314473152160645
GAT_h16_l4_head4_a0.9,0.9,country_score,0.8065630197525024,0.2408285140991211,0.9985709190368652,0.9993740916252136
GAT_h32_l2_head1_a0.1,0.1,combined_score,0.770638644695282,0.5603191256523132,2.0154640674591064,2.618299961090088
GAT_h32_l2_head1_a0.1,0.1,population_error,0.8256500959396362,0.8799827098846436,2.795004367828369,3.8295958042144775
GAT_h32_l2_head1_a0.1,0.1,country_score,0.6881213784217834,0.3005450665950775,0.9991416335105896,0.9999391436576843
